,Framecount,Expression,Probability,EAR
158,1580,neutral,"tensor([1.8408e-01, 5.3260e-03, 3.2243e-02, 1.6585e-01, 6.0273e-01, 9.5858e-03,
        1.8370e-04])",0.31249039834219794
159,1590,neutral,"tensor([1.3412e-01, 2.3483e-02, 5.2111e-02, 1.7380e-01, 5.5852e-01, 5.7661e-02,
        3.0305e-04])",0.32915765952428544
160,1600,neutral,"tensor([8.9524e-02, 1.5364e-02, 5.4833e-02, 1.2929e-01, 6.7335e-01, 3.7438e-02,
        2.0780e-04])",0.2928714296845151
161,1610,neutral,"tensor([1.5145e-02, 4.6010e-04, 7.2491e-03, 4.3558e-01, 5.3558e-01, 5.9593e-03,
        2.9005e-05])",0.2610939386926753
162,1620,neutral,"tensor([2.8782e-02, 7.0995e-04, 1.8383e-02, 3.4309e-01, 5.9986e-01, 9.1152e-03,
        6.6728e-05])",0.23972708580594743
163,1630,neutral,"tensor([2.0124e-02, 9.2875e-04, 2.3743e-02, 4.1004e-01, 5.3149e-01, 1.3606e-02,
        6.2375e-05])",0.248923160035125
164,1640,nervous,"tensor([2.8705e-02, 1.0875e-04, 1.1898e-02, 4.8187e-01, 4.6941e-01, 8.0013e-03,
        7.0320e-06])",0.2857142857142857
165,1650,nervous,"tensor([1.1748e-02, 1.0737e-04, 2.8123e-03, 5.5069e-01, 4.2985e-01, 4.7943e-03,
        6.1706e-06])",0.20467032967032966
166,1660,neutral,"tensor([1.6157e-02, 1.1756e-04, 5.4147e-03, 3.1743e-01, 6.5639e-01, 4.4792e-03,
        1.7590e-05])",0.21663160110521335
167,1670,neutral,"tensor([5.3734e-02, 5.7785e-04, 1.7872e-02, 2.8072e-01, 6.4213e-01, 4.8515e-03,
        1.0714e-04])",0.19083645212089312
168,1680,neutral,"tensor([1.4374e-02, 2.8834e-04, 1.1208e-02, 3.6644e-01, 5.9996e-01, 7.6882e-03,
        4.0446e-05])",0.10357962225257385
169,1690,neutral,"tensor([7.2551e-02, 8.5719e-04, 9.2318e-03, 1.4779e-01, 7.6480e-01, 4.6987e-03,
        6.4836e-05])",0.27832564221700523
170,1700,neutral,"tensor([2.9755e-02, 1.1229e-03, 2.1643e-02, 3.1024e-01, 6.2375e-01, 1.3353e-02,
        1.3407e-04])",0.2849881999516386
171,1710,neutral,"tensor([1.2112e-01, 4.6204e-02, 4.1391e-02, 2.6898e-01, 4.5057e-01, 7.1627e-02,
        1.1008e-04])",0.2391283020922612
172,1720,neutral,"tensor([8.8255e-02, 2.9353e-03, 2.9945e-02, 2.3244e-01, 6.3536e-01, 1.0951e-02,
        1.2115e-04])",0.30546054190758576
173,1730,neutral,"tensor([1.0743e-01, 3.8912e-03, 3.2309e-02, 3.0126e-01, 5.4179e-01, 1.3180e-02,
        1.3408e-04])",0.29853298198751677
174,1740,neutral,"tensor([5.5503e-02, 1.0512e-03, 4.9195e-02, 2.8515e-01, 5.9936e-01, 9.4554e-03,
        2.8694e-04])",0.28308863536780204
175,1750,neutral,"tensor([4.7609e-02, 1.1450e-03, 3.8049e-02, 3.3777e-01, 5.6466e-01, 1.0601e-02,
        1.6809e-04])",0.24006695286345728
176,1760,neutral,"tensor([5.1043e-02, 5.0198e-04, 2.2897e-02, 1.3158e-01, 7.8962e-01, 4.3119e-03,
        3.9522e-05])",0.23504067250300678
177,1770,neutral,"tensor([7.9411e-02, 8.5663e-04, 3.2203e-02, 3.1873e-01, 5.6146e-01, 7.2316e-03,
        1.0709e-04])",0.25921887304828983
