,Framecount,Expression,Probability
74,840,nervous,"tensor([5.3869e-02, 2.4163e-03, 3.8563e-03, 8.8367e-01, 3.4264e-02, 2.1711e-02,
        2.0963e-04])"
75,850,nervous,"tensor([0.0503, 0.2441, 0.0175, 0.3870, 0.0172, 0.2821, 0.0018])"
76,860,nervous,"tensor([1.3802e-02, 5.0480e-03, 7.4969e-03, 8.5902e-01, 1.8466e-02, 9.5636e-02,
        5.3596e-04])"
77,870,nervous,"tensor([9.9315e-03, 5.2137e-02, 1.2391e-02, 5.2082e-01, 1.2175e-02, 3.9232e-01,
        2.3173e-04])"
78,880,scared,"tensor([7.2755e-02, 1.2411e-01, 4.6332e-02, 2.2356e-01, 1.8629e-03, 5.3097e-01,
        4.1361e-04])"
79,920,confident,"tensor([9.7031e-01, 1.9077e-04, 2.5129e-03, 2.4267e-02, 1.4086e-03, 1.2567e-03,
        5.1574e-05])"
80,930,nervous,"tensor([9.9826e-02, 3.7359e-02, 2.0592e-02, 6.8841e-01, 6.9448e-03, 1.4654e-01,
        3.2869e-04])"
81,940,nervous,"tensor([2.6978e-02, 3.4959e-02, 2.5161e-02, 5.3271e-01, 6.1063e-03, 3.7385e-01,
        2.4323e-04])"
82,950,nervous,"tensor([3.1097e-03, 7.8971e-04, 3.4030e-03, 9.4930e-01, 3.4091e-03, 3.9925e-02,
        6.3674e-05])"
83,960,nervous,"tensor([0.0354, 0.0025, 0.0177, 0.8103, 0.0692, 0.0637, 0.0012])"
84,970,nervous,"tensor([8.9598e-03, 2.6764e-03, 5.5016e-03, 8.5008e-01, 3.3419e-02, 9.9307e-02,
        5.6545e-05])"
85,980,nervous,"tensor([2.7116e-02, 1.1546e-04, 3.1232e-03, 9.3579e-01, 1.4993e-02, 1.8788e-02,
        7.4831e-05])"
86,990,confident,"tensor([0.4328, 0.0478, 0.0140, 0.3409, 0.0935, 0.0692, 0.0017])"
87,1000,nervous,"tensor([0.2393, 0.1585, 0.0058, 0.3249, 0.0101, 0.2607, 0.0006])"
88,1010,nervous,"tensor([0.1340, 0.0101, 0.0061, 0.7160, 0.0540, 0.0788, 0.0010])"
89,1020,nervous,"tensor([0.1002, 0.0737, 0.0219, 0.3993, 0.0169, 0.3872, 0.0007])"
90,1030,nervous,"tensor([0.0924, 0.0043, 0.0144, 0.6169, 0.2081, 0.0621, 0.0017])"
91,1040,scared,"tensor([1.2107e-01, 2.7627e-02, 9.4414e-04, 2.5093e-01, 1.7229e-02, 5.8211e-01,
        9.5849e-05])"
92,1090,confident,"tensor([7.3936e-01, 1.9780e-02, 5.2080e-04, 2.2305e-01, 5.2324e-03, 1.1875e-02,
        1.8190e-04])"
93,1100,confident,"tensor([9.3414e-01, 3.6146e-02, 9.7901e-04, 5.7116e-03, 1.5400e-02, 7.2347e-03,
        3.8790e-04])"
94,1110,scared,"tensor([2.0727e-01, 2.0851e-02, 1.8421e-03, 2.9178e-01, 6.3672e-04, 4.7750e-01,
        1.2362e-04])"
95,1120,nervous,"tensor([3.3856e-01, 1.4269e-02, 3.1970e-03, 5.2847e-01, 8.7947e-03, 1.0652e-01,
        1.8795e-04])"
96,1130,confident,"tensor([8.6951e-01, 2.0378e-03, 6.8652e-04, 1.2206e-01, 1.8218e-03, 3.8113e-03,
        6.4148e-05])"
97,1140,confident,"tensor([6.7289e-01, 2.7730e-02, 2.1861e-03, 2.6534e-01, 5.3887e-03, 2.6321e-02,
        1.4850e-04])"
98,1150,nervous,"tensor([0.2317, 0.0210, 0.0095, 0.6536, 0.0252, 0.0580, 0.0011])"
99,1160,nervous,"tensor([0.1580, 0.0224, 0.0073, 0.6815, 0.0439, 0.0860, 0.0009])"
100,1170,confident,"tensor([0.4293, 0.3955, 0.0075, 0.0714, 0.0121, 0.0830, 0.0013])"
101,1180,nervous,"tensor([0.3147, 0.0031, 0.0077, 0.5232, 0.1253, 0.0150, 0.0110])"
102,1190,nervous,"tensor([5.0093e-03, 2.4547e-05, 2.0162e-03, 9.0002e-01, 7.3524e-02, 1.3804e-02,
        5.6020e-03])"
103,1200,enthusiastic,"tensor([0.3216, 0.6528, 0.0017, 0.0096, 0.0030, 0.0101, 0.0011])"
104,1210,nervous,"tensor([0.2806, 0.1115, 0.0252, 0.4080, 0.0796, 0.0903, 0.0048])"
105,1220,enthusiastic,"tensor([0.2130, 0.3204, 0.0079, 0.2609, 0.0656, 0.1307, 0.0016])"
106,1230,scared,"tensor([0.1126, 0.2666, 0.0204, 0.1358, 0.0615, 0.3971, 0.0060])"
107,1240,scared,"tensor([0.0613, 0.2797, 0.0171, 0.1229, 0.0152, 0.5013, 0.0026])"
108,1250,scared,"tensor([0.0609, 0.0887, 0.0156, 0.3242, 0.0721, 0.4367, 0.0018])"
109,1260,confident,"tensor([6.1856e-01, 7.8126e-02, 3.5092e-02, 1.2828e-01, 3.1505e-03, 1.3639e-01,
        3.9524e-04])"
110,1270,nervous,"tensor([0.1664, 0.0258, 0.0493, 0.6124, 0.0481, 0.0879, 0.0101])"
111,1280,nervous,"tensor([0.0143, 0.0047, 0.0180, 0.8815, 0.0228, 0.0564, 0.0023])"
112,1290,nervous,"tensor([0.1054, 0.0054, 0.0087, 0.6983, 0.1072, 0.0719, 0.0031])"
113,1300,confident,"tensor([8.9581e-01, 4.9664e-04, 5.0123e-04, 5.2251e-02, 4.3986e-02, 6.0460e-03,
        9.0798e-04])"
114,1310,confident,"tensor([0.5213, 0.1832, 0.0055, 0.1511, 0.0568, 0.0799, 0.0022])"
115,1320,enthusiastic,"tensor([0.3994, 0.4536, 0.0020, 0.0431, 0.0048, 0.0964, 0.0008])"
116,1330,nervous,"tensor([0.1566, 0.0011, 0.0015, 0.7159, 0.0813, 0.0415, 0.0021])"
117,1340,nervous,"tensor([0.0892, 0.0022, 0.0082, 0.7470, 0.1073, 0.0423, 0.0039])"
118,1350,nervous,"tensor([0.1826, 0.0108, 0.0343, 0.2657, 0.2174, 0.2192, 0.0701])"
119,1360,enthusiastic,"tensor([0.1653, 0.5212, 0.0160, 0.0772, 0.0242, 0.1912, 0.0049])"
120,1370,confident,"tensor([0.3312, 0.1482, 0.0164, 0.1766, 0.1838, 0.1202, 0.0235])"
121,1380,nervous,"tensor([0.1349, 0.0062, 0.0300, 0.5678, 0.2101, 0.0449, 0.0061])"
122,1390,nervous,"tensor([4.6167e-03, 1.4207e-03, 2.0606e-03, 9.3149e-01, 2.4993e-02, 3.5313e-02,
        1.0206e-04])"
123,1400,nervous,"tensor([0.0541, 0.0026, 0.0082, 0.7837, 0.0684, 0.0820, 0.0011])"
124,1410,nervous,"tensor([2.8757e-03, 3.2314e-04, 2.5387e-03, 9.3719e-01, 2.8552e-02, 2.8455e-02,
        6.4288e-05])"
125,1420,nervous,"tensor([1.1680e-02, 5.0088e-04, 2.4996e-03, 9.4192e-01, 3.0204e-02, 1.2940e-02,
        2.5952e-04])"
126,1430,confident,"tensor([0.4580, 0.0384, 0.0158, 0.4208, 0.0125, 0.0524, 0.0021])"
127,1440,nervous,"tensor([0.3366, 0.0441, 0.0268, 0.4647, 0.0150, 0.1090, 0.0038])"
128,1450,confident,"tensor([0.5994, 0.0374, 0.0151, 0.1159, 0.1754, 0.0385, 0.0182])"
129,1460,confident,"tensor([0.5173, 0.1284, 0.0296, 0.1742, 0.0131, 0.1346, 0.0028])"
130,1470,enthusiastic,"tensor([0.2857, 0.3665, 0.0198, 0.0994, 0.0667, 0.1592, 0.0028])"
